idjadwal,idruang,idkelas,tgljadwal,waktumulai,waktuselesai,statusperkuliahan
271956,K-401,197782,2019-03-05,17:00,18:40,0
275374,T-406,197778,2019-04-01,19:00,20:40,1
275376,T-406,197778,2019-04-15,19:00,20:40,1
275375,T-406,197778,2019-04-08,19:00,20:40,1
275384,T-406,197778,2019-06-17,19:00,20:40,0
275383,T-406,197778,2019-06-10,19:00,20:40,0
275382,T-406,197778,2019-06-03,19:00,20:40,0
275381,T-406,197778,2019-05-27,19:00,20:40,0
275380,T-406,197778,2019-05-20,19:00,20:40,0
275379,T-406,197778,2019-05-13,19:00,20:40,0
275378,T-406,197778,2019-05-06,19:00,20:40,2
275377,T-406,197778,2019-04-29,17:00,18:40,1
275373,T-406,197778,2019-03-25,19:00,20:40,1
275372,T-406,197778,2019-03-18,19:00,20:40,1
275371,T-406,197778,2019-03-11,19:00,20:40,0
275370,T-406,197778,2019-03-04,19:00,20:40,0
253540,K-406,197813,2019-04-12,08:00,09:40,1
253539,K-406,197813,2019-04-05,08:00,09:40,1
253535,K-406,197813,2019-03-08,08:00,09:40,1
253537,K-406,197813,2019-03-22,08:00,09:40,1
253536,K-406,197813,2019-03-15,08:00,09:40,1
253547,K-406,197813,2019-05-31,08:00,09:40,0
253546,K-406,197813,2019-05-24,08:00,09:40,0
253545,K-406,197813,2019-05-17,08:00,09:40,0
253544,K-406,197813,2019-05-10,08:00,09:40,0
253543,K-406,197813,2019-06-28,08:00,09:40,0
253542,K-406,197813,2019-06-21,08:00,09:40,0
253541,K-406,197813,2019-04-19,08:00,09:40,0
253538,K-406,197813,2019-03-29,08:00,09:40,1
253526,K-406,197813,2019-05-03,08:00,09:40,1
275197,T-206,197779,2019-03-18,17:00,18:40,1
275796,T-206,197779,2019-06-10,17:00,18:40,0
275795,T-206,197779,2019-06-03,17:00,18:40,0
275794,T-206,197779,2019-05-27,17:00,18:40,0
275793,T-206,197779,2019-05-20,17:00,18:40,0
275792,T-206,197779,2019-05-13,17:00,18:40,0
275791,T-206,197779,2019-05-06,17:00,18:40,2
275790,T-206,197779,2019-06-22,17:00,18:40,0
275789,T-206,197779,2019-06-17,17:00,18:40,0
275788,T-206,197779,2019-04-15,17:00,18:40,1
275787,T-206,197779,2019-04-08,17:00,18:40,1
275786,T-206,197779,2019-04-01,17:00,18:40,1
275785,T-206,197779,2019-03-25,17:00,18:40,1
256715,K-403,197781,2019-04-09,19:00,21:00,1
256716,K-403,197781,2019-04-16,19:00,21:00,1
256712,K-403,197781,2019-03-19,19:00,21:00,1
256714,K-403,197781,2019-04-02,19:00,21:00,1
256713,K-403,197781,2019-03-26,19:00,21:00,1
256711,T-206,197781,2019-03-12,19:00,21:00,1
256710,T-206,197781,2019-03-05,19:00,21:00,1
260229,T-405,197927,2019-04-20,13:30,15:10,1
260226,T-405,197927,2019-03-27,13:30,15:10,1
260227,T-405,197927,2019-04-13,09:10,10:50,1
260230,T-405,197927,2019-04-24,13:30,15:10,1
260232,T-405,197927,2019-06-26,13:30,15:10,0
260231,T-405,197927,2019-06-19,13:30,15:10,0
260223,T-405,197927,2019-03-06,13:30,15:10,1
260225,T-405,197927,2019-03-20,13:30,15:10,1
260224,T-405,197927,2019-03-13,13:30,15:10,1
260237,T-405,197927,2019-06-05,13:30,15:10,0
260236,T-405,197927,2019-05-29,13:30,15:10,0
260235,T-405,197927,2019-05-22,13:30,15:10,0
260234,T-405,197927,2019-05-15,13:30,15:10,0
260233,T-405,197927,2019-05-08,13:30,15:10,0
260228,T-405,197927,2019-04-10,13:30,15:10,1
246496,R-207 TIK,197924,2019-05-03,09:40,11:30,1
246489,R-207 TIK,197924,2019-03-29,09:40,11:30,1
246491,R-207 TIK,197924,2019-04-05,10:00,11:40,1
246494,T-312,197924,2019-04-12,08:00,09:40,1
246490,R-207 TIK,197924,2019-04-12,09:40,11:30,1
246493,R-207 TIK,197924,2019-04-05,08:00,09:40,1
246492,T-312,197924,2019-03-29,08:00,09:40,1
246503,T-312,197924,2019-06-07,08:00,09:40,0
246502,T-312,197924,2019-05-31,08:00,09:40,0
246501,T-312,197924,2019-05-24,08:00,09:40,0
246500,T-312,197924,2019-05-17,08:00,09:40,0
246499,T-312,197924,2019-05-10,08:00,09:40,0
246498,T-312,197924,2019-06-28,08:00,09:40,0
246497,T-312,197924,2019-06-21,08:00,09:40,0
246495,T-312,197924,2019-04-19,08:00,09:40,0
254031,T-311,197916,2019-04-16,08:00,09:40,1
254027,T-311,197916,2019-03-19,08:00,09:40,1
254025,T-311,197916,2019-03-05,08:00,09:40,1
254026,T-311,197916,2019-03-12,08:00,09:40,1
254039,T-311,197916,2019-06-04,08:00,09:40,0
254038,T-311,197916,2019-05-28,08:00,09:40,0
254037,T-311,197916,2019-05-21,08:00,09:40,0
254036,T-311,197916,2019-05-14,08:00,09:40,0
254035,T-311,197916,2019-05-07,08:00,09:40,1
254034,T-311,197916,2019-06-18,08:00,09:40,0
254033,T-311,197916,2019-06-11,08:00,09:40,0
254032,T-311,197916,2019-04-30,08:00,09:40,1
254030,T-311,197916,2019-04-09,08:00,09:40,1
254029,T-311,197916,2019-04-02,08:00,09:40,1
254028,T-311,197916,2019-03-26,08:00,09:40,1
261071,K-401,197920,2019-04-10,13:30,14:30,1
261073,K-405,197920,2019-04-18,13:00,14:40,1
261068,T-403,197920,2019-03-13,08:00,09:40,1
259231,T-403,197920,2019-03-06,08:00,09:40,1
261069,T-403,197920,2019-03-20,08:00,09:40,1
261079,T-403,197920,2019-05-29,08:00,09:40,0
261078,T-403,197920,2019-05-22,08:00,09:40,0
261077,T-403,197920,2019-05-15,08:00,09:40,0
261076,T-403,197920,2019-05-08,08:00,09:40,0
261075,T-403,197920,2019-06-26,08:00,09:40,0
261074,T-403,197920,2019-06-19,08:00,09:40,0
261072,T-403,197920,2019-04-10,08:00,09:40,1
261070,T-403,197920,2019-03-27,08:00,09:40,1
259238,T-403,197920,2019-04-24,08:00,09:40,1
267473,K-406,197824,2019-04-12,10:00,11:40,1
267472,K-406,197824,2019-04-05,10:00,11:40,1
267470,K-406,197824,2019-03-22,10:00,11:40,1
267468,K-406,197824,2019-03-08,10:00,11:40,1
267469,K-406,197824,2019-03-15,10:00,11:40,1
267482,K-406,197824,2019-06-07,10:00,11:40,0
267481,K-406,197824,2019-05-31,10:00,11:40,0
267480,K-406,197824,2019-05-24,10:00,11:40,0
267479,K-406,197824,2019-05-17,10:00,11:40,0
267478,K-406,197824,2019-05-10,10:00,11:40,0
267477,K-406,197824,2019-06-28,10:00,11:40,0
267476,K-406,197824,2019-06-21,10:00,11:40,0
267475,K-406,197824,2019-05-03,10:00,11:40,1
267474,K-406,197824,2019-04-18,10:30,12:10,1
267471,K-406,197824,2019-03-29,10:00,11:40,1
247917,T-408,197922,2019-03-25,10:30,12:10,1
247921,T-409,197922,2019-04-29,10:30,12:10,1
247914,T-408,197922,2019-03-04,10:30,12:10,1
247915,T-408,197922,2019-03-11,10:30,12:10,1
247916,T-408,197922,2019-03-18,10:30,12:10,1
247928,T-408,197922,2019-06-17,10:30,12:10,0
247927,T-408,197922,2019-06-10,10:30,12:10,0
247926,T-408,197922,2019-06-03,10:30,12:10,0
247925,T-408,197922,2019-05-27,10:30,12:10,0
247924,T-408,197922,2019-05-20,10:30,12:10,0
247923,T-408,197922,2019-05-13,10:30,12:10,0
247922,T-408,197922,2019-05-06,10:30,12:10,0
247918,T-408,197922,2019-04-01,10:30,12:10,1
265925,K-405,197822,2019-04-18,10:30,12:10,1
265921,K-406,197822,2019-04-04,12:30,13:30,1
265923,K-405,197822,2019-04-04,10:30,12:10,1
265924,K-405,197822,2019-04-11,10:30,12:10,1
265926,K-405,197822,2019-06-20,10:30,12:10,0
265920,K-405,197822,2019-03-14,10:30,12:10,1
265931,K-405,197822,2019-05-30,10:30,12:10,0
265930,K-405,197822,2019-05-23,10:30,12:10,0
265929,K-405,197822,2019-05-16,10:30,12:10,0
265928,K-405,197822,2019-05-09,10:30,12:10,0
265927,K-405,197822,2019-06-27,10:30,12:10,0
265922,K-405,197822,2019-03-28,10:30,12:10,1
265919,K-405,197822,2019-03-07,10:30,12:10,0
261969,K-405,197822,2019-05-02,10:30,12:10,1
265977,T-406,197789,2019-03-28,17:00,19:00,1
265978,T-406,197789,2019-04-04,17:00,19:00,1
265975,T-406,197789,2019-03-14,17:00,19:00,1
265976,T-406,197789,2019-03-21,17:00,19:00,1
265974,T-406,197789,2019-03-14,19:00,21:30,1
265986,T-406,197789,2019-05-30,17:00,19:00,0
265985,T-406,197789,2019-05-23,17:00,19:00,0
265984,T-406,197789,2019-05-16,17:00,19:00,0
265983,T-406,197789,2019-05-09,17:00,19:00,0
265982,T-406,197789,2019-06-27,17:00,19:00,0
265981,T-406,197789,2019-06-20,17:00,19:00,0
265980,T-406,197789,2019-04-18,17:00,19:00,1
265979,T-406,197789,2019-04-11,17:00,19:00,1
265965,T-406,197789,2019-04-25,18:30,20:20,1
258674,K-406,197820,2019-04-10,08:00,10:30,1
258670,K-406,197820,2019-03-13,08:00,10:30,1
258669,K-406,197820,2019-03-06,08:00,10:30,1
258683,K-406,197820,2019-06-05,08:00,10:30,0
258682,K-406,197820,2019-05-29,08:00,10:30,0
258681,K-406,197820,2019-05-22,08:00,10:30,0
258680,K-406,197820,2019-05-15,08:00,10:30,0
258679,K-406,197820,2019-05-08,08:00,10:30,0
258678,K-406,197820,2019-06-26,08:00,10:30,0
258677,K-406,197820,2019-06-19,08:00,10:30,0
258676,K-406,197820,2019-04-24,08:00,10:30,1
258675,K-406,197820,2019-04-20,08:00,10:30,1
258673,K-406,197820,2019-04-13,08:00,10:30,1
258672,K-406,197820,2019-03-27,08:00,10:30,1
258671,K-406,197820,2019-03-20,08:00,10:30,1
272415,T-311,197790,2019-03-07,19:00,21:00,0
266020,T-311,197791,2019-04-04,19:00,21:10,1
266016,T-312,197791,2019-03-28,17:00,18:40,1
266022,T-311,197791,2019-04-15,17:00,18:40,1
266018,T-311,197791,2019-03-21,19:00,21:10,1
266019,T-311,197791,2019-03-28,19:00,21:10,1
270633,K-401,197928,2019-04-08,08:00,09:40,1
270632,K-401,197928,2019-04-15,09:40,11:00,1
270634,K-401,197928,2019-04-15,08:00,09:40,1
270629,K-401,197928,2019-03-11,08:00,09:40,1
270630,K-401,197928,2019-03-18,08:00,09:40,1
270640,K-401,197928,2019-05-27,08:00,09:40,0
270639,K-401,197928,2019-05-20,08:00,09:40,0
270638,K-401,197928,2019-05-13,08:00,09:40,0
270637,K-401,197928,2019-05-06,08:00,09:40,1
270636,K-401,197928,2019-06-22,08:00,09:40,0
270635,K-401,197928,2019-06-17,08:00,09:40,0
270631,K-401,197928,2019-03-25,08:00,09:40,1
270628,K-401,197928,2019-03-04,08:00,09:40,0
247168,K-401,197928,2019-04-22,08:00,09:40,1
261100,T-309,197919,2019-04-16,08:00,10:30,1
261102,T-206,197919,2019-04-16,13:30,15:10,1
261098,T-311,197919,2019-03-20,10:30,12:10,1
261097,T-311,197919,2019-03-13,10:30,12:10,1
261108,T-311,197919,2019-05-29,10:30,12:10,0
261107,T-311,197919,2019-05-22,10:30,12:10,0
261106,T-311,197919,2019-05-15,10:30,12:10,0
261105,T-311,197919,2019-05-08,10:30,12:10,0
261104,T-311,197919,2019-06-26,10:30,12:10,0
261103,T-311,197919,2019-06-19,10:30,12:10,0
261101,T-311,197919,2019-04-10,10:30,12:10,1
261099,T-311,197919,2019-03-27,10:30,12:10,1
261096,T-311,197919,2019-03-06,10:30,12:10,1
253380,T-311,197918,2019-04-16,10:30,12:30,1
253379,T-311,197918,2019-04-09,10:30,12:30,1
253376,T-311,197918,2019-03-19,10:30,12:30,1
253375,T-311,197918,2019-03-12,10:30,12:30,1
253374,T-311,197918,2019-03-05,10:30,12:30,1
253388,T-311,197918,2019-06-04,10:30,12:30,0
253387,T-311,197918,2019-05-28,10:30,12:30,0
253386,T-311,197918,2019-05-21,10:30,12:30,0
253385,T-311,197918,2019-05-14,10:30,12:30,0
253384,T-311,197918,2019-05-07,10:30,12:30,0
253383,T-311,197918,2019-06-18,10:30,12:30,0
253382,T-311,197918,2019-06-11,10:30,12:30,0
253378,T-311,197918,2019-04-02,10:30,12:30,1
253377,T-311,197918,2019-03-26,10:30,12:30,1
246574,R-207 TIK,197925,2019-04-09,10:00,12:10,0
246573,R-207 TIK,197925,2019-04-02,10:00,12:10,0
246572,R-207 TIK,197925,2019-03-26,10:00,12:10,0
246571,T-312,197925,2019-03-22,10:00,12:10,0
246583,T-312,197925,2019-06-07,10:00,12:10,0
246582,T-312,197925,2019-05-31,10:00,12:10,0
246581,T-312,197925,2019-05-24,10:00,12:10,0
246580,T-312,197925,2019-05-17,10:00,12:10,0
246579,T-312,197925,2019-05-10,10:00,12:10,0
246578,T-312,197925,2019-06-28,10:00,12:10,0
246577,T-312,197925,2019-06-21,10:00,12:10,0
246575,T-312,197925,2019-04-19,10:00,12:10,0
246570,T-312,197925,2019-03-15,10:00,12:10,0
246569,T-312,197925,2019-03-08,10:00,12:10,0
251604,T-101,197923,2019-04-01,13:30,16:00,1
251606,T-308,197923,2019-04-15,13:30,16:00,1
251607,T-401,197923,2019-04-29,13:30,16:00,1
251600,T-101,197923,2019-03-04,13:30,16:00,1
251601,T-101,197923,2019-03-11,13:30,16:00,1
251602,T-101,197923,2019-03-18,13:30,16:00,1
251614,T-101,197923,2019-06-17,13:30,16:00,0
251613,T-101,197923,2019-06-10,13:30,16:00,0
251612,T-101,197923,2019-06-03,13:30,16:00,0
251611,T-101,197923,2019-05-27,13:30,16:00,0
251610,T-101,197923,2019-05-20,13:30,16:00,0
251609,T-101,197923,2019-05-13,13:30,16:00,0
251608,T-101,197923,2019-05-06,13:30,16:00,1
251605,T-101,197923,2019-04-08,13:30,16:00,1
251603,T-101,197923,2019-03-25,13:30,16:00,1
253508,T-403,197941,2019-03-20,15:10,16:50,1
253506,T-403,197941,2019-03-06,15:10,16:50,1
253507,T-403,197941,2019-03-13,15:10,16:50,1
253518,T-403,197941,2019-05-29,15:10,16:50,0
253517,T-403,197941,2019-05-22,15:10,16:50,0
253516,T-403,197941,2019-05-15,15:10,16:50,0
253515,T-403,197941,2019-05-08,15:10,16:50,0
253514,T-403,197941,2019-06-26,15:10,16:50,0
253513,T-403,197941,2019-06-19,15:10,16:50,0
253512,T-403,197941,2019-04-17,15:10,16:50,0
253511,T-403,197941,2019-04-10,15:10,16:50,1
253510,T-403,197941,2019-04-03,15:10,16:50,0
253509,T-403,197941,2019-03-27,15:10,16:50,1
253497,T-403,197941,2019-04-24,15:10,16:50,1
275014,K-301,197795,2019-04-05,19:30,21:10,1
275016,K-301,197795,2019-04-15,19:30,21:10,1
275013,K-301,197795,2019-03-29,19:30,21:10,1
275010,T-105 B,197795,2019-04-05,21:30,22:00,1
275015,K-301,197795,2019-04-12,19:30,21:10,1
275011,K-301,197795,2019-03-15,19:30,21:10,1
275012,K-301,197795,2019-03-22,19:30,21:10,1
275024,K-301,197795,2019-06-07,19:30,21:10,0
275023,K-301,197795,2019-05-31,19:30,21:10,0
275022,K-301,197795,2019-05-24,19:30,21:10,0
275021,K-301,197795,2019-05-17,19:30,21:10,0
275020,K-301,197795,2019-05-10,19:30,21:10,0
275019,K-301,197795,2019-06-28,19:30,21:10,0
275018,K-301,197795,2019-06-21,19:30,21:10,0
275017,K-301,197795,2019-05-03,18:30,20:20,1
261846,T-403,197794,2019-05-03,18:30,20:20,1
261857,T-403,197794,2019-03-22,19:00,20:40,1
274667,T-403,197792,2019-04-12,17:00,18:40,1
274666,T-403,197792,2019-04-05,17:00,18:40,1
274665,T-403,197792,2019-03-29,17:00,18:40,1
274664,T-403,197792,2019-03-22,17:00,18:40,1
274663,T-403,197792,2019-03-15,17:00,18:40,1
274662,T-206,197792,2019-03-22,18:40,20:10,1
274674,T-403,197792,2019-05-31,17:00,18:40,0
274673,T-403,197792,2019-05-24,17:00,18:40,0
274672,T-403,197792,2019-05-17,17:00,18:40,0
274671,T-403,197792,2019-05-10,17:00,18:40,0
274670,T-403,197792,2019-06-28,17:00,18:40,0
274669,T-403,197792,2019-06-21,17:00,18:40,0
274668,T-403,197792,2019-04-19,17:00,18:40,0
274653,T-403,197792,2019-04-26,18:30,20:20,1
275836,T-206,197814,2019-03-29,10:30,12:10,1
275838,T-206,197814,2019-04-12,10:30,12:10,1
275837,T-206,197814,2019-04-05,10:30,12:10,1
275835,T-206,197814,2019-03-22,10:30,12:10,1
253635,T-206,197814,2019-03-08,10:30,12:10,1
273252,T-206,197814,2019-03-15,10:30,12:10,1
275845,T-206,197814,2019-05-31,10:30,12:10,0
275844,T-206,197814,2019-05-24,10:30,12:10,0
275843,T-206,197814,2019-05-17,10:30,12:10,0
275842,T-206,197814,2019-05-10,10:30,12:10,0
275841,T-206,197814,2019-06-28,10:30,12:10,0
275840,T-206,197814,2019-06-21,10:30,12:10,0
275839,T-206,197814,2019-04-19,10:30,12:10,0
246509,R-207 TIK,197815,2019-04-05,13:00,15:00,1
246507,R-207 TIK,197815,2019-03-29,15:00,17:00,1
246510,R-207 TIK,197815,2019-04-12,13:00,15:00,1
246505,R-207 TIK,197815,2019-04-12,15:00,17:00,1
246508,R-207 TIK,197815,2019-03-29,13:00,15:00,1
246519,K-401,197815,2019-06-07,13:30,16:00,0
246518,K-401,197815,2019-05-31,13:30,16:00,0
246517,K-401,197815,2019-05-24,13:30,16:00,0
246516,K-401,197815,2019-05-17,13:30,16:00,0
246515,K-401,197815,2019-05-10,13:30,16:00,0
246514,K-401,197815,2019-06-28,13:30,16:00,0
246513,K-401,197815,2019-06-21,13:30,16:00,0
246512,K-401,197815,2019-05-03,13:30,16:00,1
246511,K-401,197815,2019-04-19,13:30,16:00,0
246506,K-401,197815,2019-04-05,15:00,17:00,1
265893,K-405,197821,2019-04-04,15:30,17:00,1
265897,K-405,197821,2019-04-04,14:10,15:30,1
265898,K-405,197821,2019-04-11,14:40,16:00,1
265899,K-405,197821,2019-04-18,15:00,17:00,1
265895,K-405,197821,2019-03-21,15:00,17:00,1
265896,K-405,197821,2019-03-28,15:00,17:00,1
265894,K-401,197821,2019-03-14,15:00,17:00,1
260710,T-406,197807,2019-05-06,08:00,09:40,1
260707,T-406,197807,2019-04-15,08:00,09:40,1
247152,T-406,197807,2019-04-22,08:00,09:40,1
260705,T-406,197807,2019-04-01,08:00,09:40,1
260703,T-406,197807,2019-03-18,08:00,09:40,1
260702,T-406,197807,2019-03-11,08:00,09:40,1
260701,T-406,197807,2019-04-01,11:40,13:30,1
260713,T-406,197807,2019-05-27,08:00,09:40,0
260712,T-406,197807,2019-05-20,08:00,09:40,0
260711,T-406,197807,2019-05-13,08:00,09:40,0
260709,T-406,197807,2019-06-22,08:00,09:40,0
260708,T-406,197807,2019-06-17,08:00,09:40,0
260706,T-406,197807,2019-04-08,08:00,09:40,1
260704,T-406,197807,2019-03-25,08:00,09:40,1
272456,T-206,197808,2019-04-15,12:10,13:30,1
248097,T-206,197808,2019-03-04,12:10,13:30,1
261909,T-206,197808,2019-03-11,12:10,13:30,1
272452,T-206,197808,2019-03-18,12:10,13:30,1
272462,T-206,197808,2019-05-27,12:10,13:30,0
272461,T-206,197808,2019-05-20,12:10,13:30,0
272460,T-206,197808,2019-05-13,12:10,13:30,0
272459,T-206,197808,2019-05-06,12:10,13:30,1
272458,T-206,197808,2019-06-22,12:10,13:30,0
272457,T-206,197808,2019-06-17,12:10,13:30,0
272455,T-206,197808,2019-04-08,12:10,13:30,0
272454,T-206,197808,2019-04-01,12:10,13:30,1
272453,T-206,197808,2019-03-25,12:10,13:30,1
271000,K-405,197809,2019-06-04,08:00,09:40,0
270999,K-405,197809,2019-05-28,08:00,09:40,0
270998,K-405,197809,2019-05-21,08:00,09:40,0
270997,K-405,197809,2019-05-14,08:00,09:40,0
270996,K-405,197809,2019-05-07,08:00,09:40,0
270995,K-405,197809,2019-06-18,08:00,09:40,0
270994,K-405,197809,2019-06-11,08:00,09:40,0
270993,K-405,197809,2019-04-23,08:00,09:40,1
270992,K-405,197809,2019-04-16,08:00,09:40,1
270991,K-405,197809,2019-04-09,08:00,09:40,1
270990,K-405,197809,2019-04-02,08:00,09:40,1
270989,K-405,197809,2019-03-26,08:00,09:40,1
270988,K-405,197809,2019-03-19,08:00,09:40,1
270987,K-405,197809,2019-03-12,08:00,09:40,1
270986,K-405,197809,2019-03-05,08:00,09:40,1
275812,T-205,197810,2019-03-20,10:30,12:10,1
275811,T-205,197810,2019-03-13,10:30,12:10,1
275822,T-205,197810,2019-05-29,10:30,12:10,0
275821,T-205,197810,2019-05-22,10:30,12:10,0
275820,T-205,197810,2019-05-15,10:30,12:10,0
275819,T-205,197810,2019-05-08,10:30,12:10,0
275818,T-205,197810,2019-06-26,10:30,12:10,0
275817,T-205,197810,2019-06-19,10:30,12:10,0
275816,T-205,197810,2019-04-17,10:30,12:10,0
275815,T-205,197810,2019-04-10,10:30,12:10,1
275814,T-205,197810,2019-04-03,10:30,12:10,0
275813,T-205,197810,2019-03-27,10:30,12:10,1
275810,T-205,197810,2019-03-06,10:30,12:10,0
260763,T-402,197811,2019-04-10,15:10,16:40,1
260765,K-406,197811,2019-04-16,11:00,12:30,1
260759,T-403,197811,2019-03-06,13:30,15:10,1
260760,T-403,197811,2019-03-13,13:30,15:10,1
260762,T-403,197811,2019-03-27,13:30,15:10,1
260761,T-403,197811,2019-03-20,13:30,15:10,1
260771,T-403,197811,2019-05-29,13:30,15:10,0
260770,T-403,197811,2019-05-22,13:30,15:10,0
260769,T-403,197811,2019-05-15,13:30,15:10,0
260768,T-403,197811,2019-05-08,13:30,15:10,0
260767,T-403,197811,2019-06-26,13:30,15:10,0
260766,T-403,197811,2019-06-19,13:30,15:10,0
260764,T-403,197811,2019-04-10,13:30,15:10,1
260750,T-403,197811,2019-04-24,13:30,15:10,1
266328,T-105 B,197959,2019-03-29,15:00,16:40,0
266327,T-105 B,197959,2019-03-22,15:00,16:40,0
266326,T-105 B,197959,2019-03-15,15:00,16:40,0
266339,T-105 B,197959,2019-06-07,15:00,16:40,0
266338,T-105 B,197959,2019-05-31,15:00,16:40,0
266337,T-105 B,197959,2019-05-24,15:00,16:40,0
266336,T-105 B,197959,2019-05-17,15:00,16:40,0
266335,T-105 B,197959,2019-05-10,15:00,16:40,0
266334,T-105 B,197959,2019-06-28,15:00,16:40,0
266333,T-105 B,197959,2019-06-21,15:00,16:40,0
266332,T-105 B,197959,2019-04-24,15:00,16:40,0
266331,T-105 B,197959,2019-04-19,15:00,16:40,0
266330,T-105 B,197959,2019-04-12,15:00,16:40,0
266329,T-105 B,197959,2019-04-05,15:00,16:40,0
266325,T-105 B,197959,2019-03-08,15:00,16:40,0
265950,R-207 TIK,197788,2019-04-11,17:00,19:00,1
246528,R-207 TIK,197788,2019-04-25,18:00,19:00,1
265951,R-207 TIK,197788,2019-04-11,19:00,21:00,1
265949,K-409,197788,2019-04-04,17:00,19:00,1
265947,K-409,197788,2019-03-21,17:00,19:00,1
265957,K-409,197788,2019-05-30,17:00,19:00,0
265956,K-409,197788,2019-05-23,17:00,19:00,0
265955,K-409,197788,2019-05-16,17:00,19:00,0
265954,K-409,197788,2019-05-09,17:00,19:00,0
265953,K-409,197788,2019-06-27,17:00,19:00,0
265952,K-409,197788,2019-06-20,17:00,19:00,0
265948,K-409,197788,2019-03-28,17:00,19:00,1
265946,K-409,197788,2019-04-18,17:00,19:00,1
265945,K-409,197788,2019-03-07,17:00,19:00,0
250175,T-406,197783,2019-04-01,17:00,18:40,1
250171,T-406,197783,2019-03-04,17:00,18:40,1
250173,T-406,197783,2019-03-18,17:00,18:40,1
250185,T-406,197783,2019-06-17,17:00,18:40,0
250184,T-406,197783,2019-06-10,17:00,18:40,0
250183,T-406,197783,2019-06-03,17:00,18:40,0
250182,T-406,197783,2019-05-27,17:00,18:40,0
250181,T-406,197783,2019-05-20,17:00,18:40,0
250180,T-406,197783,2019-05-13,17:00,18:40,0
250179,T-406,197783,2019-05-06,17:00,18:40,1
250178,T-406,197783,2019-04-22,18:30,20:20,1
250177,T-406,197783,2019-04-15,17:00,18:40,1
250176,T-406,197783,2019-04-08,17:00,18:40,1
250174,T-406,197783,2019-03-25,17:00,18:40,1
250172,T-406,197783,2019-03-11,17:00,18:40,1
260099,T-402,197785,2019-03-13,17:00,18:40,0
260098,T-402,197785,2019-03-06,17:00,18:40,1
260110,T-402,197785,2019-05-29,17:00,18:40,0
260109,T-402,197785,2019-05-22,17:00,18:40,0
260108,T-402,197785,2019-05-15,17:00,18:40,0
260107,T-402,197785,2019-05-08,17:00,18:40,0
260106,T-402,197785,2019-06-26,17:00,18:40,0
260105,T-402,197785,2019-06-19,17:00,18:40,0
260104,T-402,197785,2019-04-17,17:00,18:40,0
260103,T-402,197785,2019-04-10,17:00,18:40,1
260102,T-402,197785,2019-04-03,17:00,18:40,0
260101,T-402,197785,2019-03-27,17:00,18:40,1
260100,T-402,197785,2019-03-20,17:00,18:40,1
260089,T-402,197785,2019-04-24,18:30,20:20,1
272525,T-107,197786,2019-04-01,17:00,18:00,1
272522,T-107,197786,2019-03-25,17:00,19:00,1
253664,T-311,197787,2019-03-06,19:30,21:30,1
253582,T-206,197793,2019-04-12,17:00,18:40,1
